Municipio Valladolid (Sí/No),Habitaciones,Baños,Metros cuadrados construidos,Ascensor (Sí/No),Obra nueva (Sí/No),Piscina (Sí/No),Terraza (Sí/No),Parking (Sí/No),Aire acondicionado (Sí/No),Jardín (Sí/No),Precio
1.0,0.1818181818181818,0.1,0.013055485814712527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03544378698224852
1.0,0.2727272727272727,0.2,0.03063017825759478,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14957337278106508
1.0,0.2727272727272727,0.2,0.03489831785086618,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1242603550295858
1.0,0.1818181818181818,0.1,0.01581722319859403,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07633136094674556
1.0,0.1818181818181818,0.1,0.03037911122269646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1390532544378698
1.0,0.1818181818181818,0.2,0.023851368315340196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08816568047337277
1.0,0.1818181818181818,0.1,0.025106703489831787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473372781065088
1.0,0.2727272727272727,0.2,0.039668591513934225,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.22189349112426032
1.0,0.2727272727272727,0.30000000000000004,0.054481546572934976,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.23071005917159762
1.0,0.09090909090909091,0.2,0.017574692442882248,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.06508875739644969
1.0,0.1818181818181818,0.1,0.016319357268390663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07633136094674556
1.0,0.2727272727272727,0.2,0.021591765001255335,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10473372781065088
1.0,0.2727272727272727,0.2,0.026613105699221692,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16508875739644968
1.0,0.1818181818181818,0.1,0.020587496861662065,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09171597633136093
1.0,0.1818181818181818,0.1,0.014561888024102436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0603550295857988
1.0,0.2727272727272727,0.2,0.026864172734120013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14142011834319526
1.0,0.36363636363636365,0.2,0.03063017825759478,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1597041420118343
1.0,0.1818181818181818,0.1,0.01506402209389907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08284023668639053
1.0,0.1818181818181818,0.2,0.027617373838814963,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1597041420118343
1.0,0.1818181818181818,0.1,0.018327893547577204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07988165680473372
1.0,0.2727272727272727,0.2,0.028119507908611605,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14733727810650887
1.0,0.2727272727272727,0.2,0.021591765001255335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07686390532544378
1.0,0.2727272727272727,0.2,0.025608837559628422,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16568047337278105
1.0,0.1818181818181818,0.2,0.02435350238513683,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16124260355029585
1.0,0.09090909090909091,0.2,0.01581722319859403,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10059171597633135
1.0,0.1818181818181818,0.2,0.01883002761737384,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11834319526627218
1.0,0.1818181818181818,0.1,0.01581722319859403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06502958579881656
1.0,0.2727272727272727,0.30000000000000004,0.04343459703740899,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2071005917159763
1.0,0.2727272727272727,0.2,0.024604569420035152,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.12307692307692306
1.0,0.1818181818181818,0.1,0.010795882500627667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03786390532544378
1.0,0.0,0.1,0.013055485814712527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07396449704142011
1.0,0.1818181818181818,0.1,0.01581722319859403,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07988165680473372
1.0,0.09090909090909091,0.2,0.019332161687170474,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1420118343195266
1.0,0.0,0.1,0.012051217675119257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272189349112426
1.0,0.2727272727272727,0.2,0.028872709013306554,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1420118343195266
1.0,0.2727272727272727,0.2,0.02209389907105197,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08284023668639053
0.0,0.2727272727272727,0.1,0.07205623901581722,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04852071005917159
0.0,0.2727272727272727,0.30000000000000004,0.07356264122520713,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.16508875739644968
0.0,0.4545454545454545,0.4,0.10921416018076827,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2893491124260355
1.0,0.2727272727272727,0.30000000000000004,0.06351995982927441,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2603550295857988
0.0,0.2727272727272727,0.30000000000000004,0.06452422796886768,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2603550295857988
1.0,0.4545454545454545,0.7000000000000001,0.1363293999497866,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6449704142011834
1.0,0.4545454545454545,0.4,0.05046447401456189,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.57396449704142
0.0,0.2727272727272727,0.30000000000000004,0.0871202611097163,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.27514792899408286
0.0,0.2727272727272727,0.30000000000000004,0.05674114988701984,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.18934911242603547
1.0,0.4545454545454545,0.2,0.06678383128295254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33727810650887574
1.0,0.2727272727272727,0.2,0.02962591011800151,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21893491124260353
1.0,0.2727272727272727,0.2,0.031132312327391415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15917159763313607
0.0,0.4545454545454545,0.30000000000000004,0.10369068541300527,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.31952662721893493
1.0,0.4545454545454545,0.30000000000000004,0.05799648506151143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22485207100591714
0.0,0.6363636363636364,0.5,0.2324880743158423,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.34628047337278106
0.0,0.5454545454545454,0.4,0.12252071303037912,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4615384615384615
0.0,0.1818181818181818,0.2,0.02334923424554356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07097810650887573
1.0,0.1818181818181818,0.1,0.02008536279186543,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0680473372781065
0.0,0.09090909090909091,0.2,0.01506402209389907,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.09207100591715975
1.0,0.1818181818181818,0.1,0.02334923424554356,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08875739644970414
1.0,0.1818181818181818,0.1,0.018327893547577204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10059171597633135
1.0,0.1818181818181818,0.2,0.01883002761737384,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.10946745562130177
1.0,0.1818181818181818,0.1,0.016319357268390663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1420118343195266
1.0,0.2727272727272727,0.30000000000000004,0.059753954305799654,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1982248520710059
1.0,0.2727272727272727,0.30000000000000004,0.059753954305799654,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1982248520710059
1.0,0.1818181818181818,0.1,0.025608837559628422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1254437869822485
1.0,0.1818181818181818,0.2,0.018578960582475525,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.10236686390532543
0.0,0.36363636363636365,0.30000000000000004,0.058749686166206384,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1603550295857988
0.0,0.1818181818181818,0.1,0.07255837308561386,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.050295857988165674
0.0,0.36363636363636365,0.2,0.06301782575947777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621301775147929
1.0,0.2727272727272727,0.4,0.058749686166206384,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.24556213017751474
1.0,0.2727272727272727,0.30000000000000004,0.044940999246798896,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.17153846153846153
1.0,0.09090909090909091,0.1,0.009791614361034396,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0680473372781065
1.0,0.2727272727272727,0.1,0.02134069796635702,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07115207100591715
1.0,0.09090909090909091,0.1,0.0253577705247301,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10349112426035502
1.0,0.2727272727272727,0.2,0.025106703489831787,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.17041420118343192
1.0,0.36363636363636365,0.30000000000000004,0.06402209389907104,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7556213017751479
1.0,0.2727272727272727,0.30000000000000004,0.06126035651518955,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.57396449704142
0.0,0.36363636363636365,0.4,0.12703991965854883,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31952662721893493
1.0,0.2727272727272727,0.1,0.02209389907105197,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1118343195266272
1.0,0.2727272727272727,0.4,0.07280944012051217,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4872781065088757
1.0,0.1818181818181818,0.1,0.018327893547577204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.078698224852071
1.0,0.1818181818181818,0.1,0.011046949535525985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04260355029585798
0.0,0.1818181818181818,0.2,0.04418779814210395,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.16863905325443784
1.0,0.36363636363636365,0.4,0.07356264122520713,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.27041420118343196
0.0,0.36363636363636365,0.4,0.10795882500627667,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1875739644970414
1.0,0.2727272727272727,0.30000000000000004,0.04795380366557871,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3964497041420118
0.0,0.2727272727272727,0.4,0.044940999246798896,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.17751479289940827
1.0,0.2727272727272727,0.5,0.0773286467486819,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.39349112426035504
0.0,0.2727272727272727,0.30000000000000004,0.04770273663068039,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.16863905325443784
1.0,0.2727272727272727,0.2,0.03263871453678132,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1834319526627219
1.0,0.1818181818181818,0.2,0.03288978157167964,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11828402366863904
1.0,0.1818181818181818,0.2,0.028872709013306554,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30177514792899407
1.0,0.09090909090909091,0.2,0.023600301280441875,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2071005917159763
1.0,0.2727272727272727,0.30000000000000004,0.029876977152899824,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2603550295857988
1.0,0.1818181818181818,0.1,0.014812955059000753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09171597633136093
1.0,0.2727272727272727,0.30000000000000004,0.05674114988701984,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.17153846153846153
1.0,0.1818181818181818,0.2,0.03163444639718805,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.28402366863905326
0.0,0.2727272727272727,0.4,0.06351995982927441,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.13927159763313607
1.0,0.09090909090909091,0.1,0.024604569420035152,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0603550295857988
1.0,0.1818181818181818,0.30000000000000004,0.06402209389907104,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.20414201183431951
1.0,0.2727272727272727,0.4,0.039668591513934225,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3609467455621302
0.0,0.1818181818181818,0.2,0.03991965854883254,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1420118343195266
0.0,0.2727272727272727,0.2,0.04544313331659553,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12958579881656804
0.0,0.1818181818181818,0.2,0.08636706000502134,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.15384615384615383
0.0,0.1818181818181818,0.30000000000000004,0.052221943258850115,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.14497041420118342
0.0,0.5454545454545454,0.30000000000000004,0.06151142355008788,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0816568047337278
1.0,0.09090909090909091,0.1,0.014812955059000753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044970414201183424
0.0,0.1818181818181818,0.2,0.01908109465227216,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08254437869822484
0.0,0.2727272727272727,0.30000000000000004,0.049962339944765254,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13603550295857986
0.0,0.2727272727272727,0.4,0.05523474767762993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1420118343195266
0.0,0.2727272727272727,0.4,0.05372834546824002,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.15207100591715975
0.0,0.36363636363636365,0.2,0.06854130052724076,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.12899408284023667
1.0,0.1818181818181818,0.2,0.024102435350238517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09171597633136093
0.0,0.1818181818181818,0.4,0.05498368064273161,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18639053254437868
0.0,0.0,0.1,0.01054481546572935,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.06798816568047336
0.0,0.09090909090909091,0.1,0.014310820989204118,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07840236686390531
1.0,0.1818181818181818,0.1,0.027617373838814963,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.08579881656804733
0.0,0.2727272727272727,0.30000000000000004,0.07532011046949535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615383
0.0,0.4545454545454545,0.30000000000000004,0.05724328395681647,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15384615384615383
1.0,0.2727272727272727,0.30000000000000004,0.05598794878232488,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.18639053254437868
1.0,0.1818181818181818,0.2,0.039668591513934225,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.13550295857988165
1.0,0.1818181818181818,0.2,0.028872709013306554,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1834319526627219
1.0,0.2727272727272727,0.5,0.060758222445392925,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.22217751479289938
1.0,0.1818181818181818,0.2,0.02837057494350992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343195266272189
1.0,0.1818181818181818,0.2,0.026864172734120013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08579881656804733
0.0,0.36363636363636365,0.4,0.0999246798895305,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15976331360946744
1.0,0.2727272727272727,0.2,0.025859904594526736,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09999999999999999
1.0,0.1818181818181818,0.1,0.01581722319859403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03840236686390532
1.0,0.1818181818181818,0.1,0.018076826512678883,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08278106508875739
1.0,0.36363636363636365,0.2,0.03690685413005273,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1834319526627219
1.0,0.2727272727272727,0.2,0.06377102686417273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08816568047337277
1.0,0.09090909090909091,0.1,0.013306552849610848,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.053248520710059165
1.0,0.36363636363636365,0.30000000000000004,0.06829023349234245,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2413609467455621
1.0,0.1818181818181818,0.1,0.020336429826763744,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0621301775147929
1.0,0.2727272727272727,0.1,0.02234496610595029,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07396449704142011
1.0,0.2727272727272727,0.2,0.02134069796635702,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06508875739644969
1.0,0.1818181818181818,0.2,0.021842832036153656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307691
1.0,0.36363636363636365,0.30000000000000004,0.0690434345970374,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14142011834319526
1.0,0.2727272727272727,0.30000000000000004,0.04795380366557871,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.19520710059171595
0.0,0.2727272727272727,0.30000000000000004,0.06402209389907104,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.16568047337278105
0.0,0.1818181818181818,0.2,0.02083856389656038,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0816568047337278
1.0,0.1818181818181818,0.2,0.02083856389656038,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07396449704142011
0.0,0.4545454545454545,0.2,0.06100928948029124,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.18951479289940826
1.0,0.2727272727272727,0.1,0.019332161687170474,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07988165680473372
0.0,0.1818181818181818,0.2,0.03288978157167964,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.10059171597633135
1.0,0.09090909090909091,0.2,0.020336429826763744,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1479230769230769
1.0,0.09090909090909091,0.1,0.017072558373085613,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.18639053254437868
1.0,0.2727272727272727,0.2,0.01908109465227216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09053254437869822
1.0,0.2727272727272727,0.2,0.02083856389656038,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1242603550295858
1.0,0.0,0.1,0.008285212151644489,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05502958579881656
1.0,0.09090909090909091,0.1,0.014812955059000753,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05917159763313609
0.0,0.1818181818181818,0.1,0.06151142355008788,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05266272189349112
1.0,0.1818181818181818,0.2,0.014812955059000753,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08284023668639053
0.0,0.2727272727272727,0.2,0.0210896309314587,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07455621301775148
1.0,0.2727272727272727,0.30000000000000004,0.029876977152899824,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2603550295857988
0.0,0.2727272727272727,0.30000000000000004,0.06025608837559628,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.2011834319526627
